Feature no,Box no,Layer no,Description,Feature files
1784,,,"Number never assigned",
1785,,,"Number never assigned",
1786,,,"Number never assigned",
1787,,,"Number never assigned",
1788,,,"Number never assigned",
1789,,,"Number never assigned",
1790,,,"Number never assigned",
1791,,,"Number never assigned",
1792,,,"Number never assigned",
1793,,,"Number never assigned",
1794,,,"Number never assigned",
1795,,,"Number never assigned",
1796,,,"Number never assigned",
1797,,,"Number never assigned",
1798,,,"Number never assigned",
1799,,,"Number never assigned",
1800,,,"Number never assigned",
1801,,,"Number never assigned",
1802,,,"Number never assigned",
1803,,,"Number never assigned",
1804,,,"Number never assigned",
1805,,,"Number never assigned",
1806,,,"Number never assigned",
1807,,,"Number never assigned",
1808,,,"Number never assigned",
1809,,,"Number never assigned",
1810,,,"Number never assigned",
1811,,,"Number never assigned",
1812,,,"Number never assigned",
1813,,,"Number never assigned",
1814,,,"Number never assigned",
1815,,,"Number never assigned",
1816,,,"Number never assigned",
1817,,,"Number never assigned",
1818,,,"Number never assigned",
1819,,,"Number never assigned",
1820,,,"Number never assigned",
1821,,,"Number never assigned",
1822,,,"Number never assigned",
1823,,,"Number never assigned",
1824,,,"Number never assigned",
1825,,,"Number never assigned",
1826,,,"Number never assigned",
1827,,,"Number never assigned",
1828,,,"Number never assigned",
1829,,,"Number never assigned",
1830,,,"Number never assigned",
1831,,,"Number never assigned",
1832,,,"Number never assigned",
1833,,,"Number never assigned",
1834,,,"Number never assigned",
1835,,,"Number never assigned",
1836,,,"Number never assigned",
1837,,,"Number never assigned",
1838,,,"Number never assigned",
1839,,,"Number never assigned",
1840,,,"Number never assigned",
1841,,,"Number never assigned",
1842,,,"Number never assigned",
1843,,,"Number never assigned",
1844,,,"Number never assigned",
1845,,,"Number never assigned",
1846,,,"Number never assigned",
1847,,,"Number never assigned",
1848,,,"Number never assigned",
1849,,,"Number never assigned",
1850,,,"Number never assigned",
1851,,,"Number never assigned",
1852,,,"Number never assigned",
1853,,,"Number never assigned",
1854,,,"Number never assigned",
1855,,,"Number never assigned",
1856,,,"Number never assigned",
1857,,,"Number never assigned",
1858,,,"Number never assigned",
1859,,,"Number never assigned",
1860,,,"Number never assigned",
1861,,,"Number never assigned",
1862,,,"Number never assigned",
1863,,,"Number never assigned",
1864,,,"Number never assigned",
1865,,,"Number never assigned",
1866,,,"Number never assigned",
1867,,,"Number never assigned",
1868,,,"Number never assigned",
1869,,,"Number never assigned",
1870,,,"Number never assigned",
1871,,,"Number never assigned",
1872,,,"Number never assigned",
1873,,,"Number never assigned",
1874,,,"Number never assigned",
1875,,,"Number never assigned",
1876,,,"Number never assigned",
1877,,,"Number never assigned",
1878,,,"Number never assigned",
1879,,,"Number never assigned",
1880,,,"Number never assigned",
1881,,,"Number never assigned",
1882,,,"Number never assigned",
1883,,,"Number never assigned",
1884,,,"Number never assigned",
1885,,,"Number never assigned",
1886,,,"Number never assigned",
1887,,,"Number never assigned",
1888,,,"Number never assigned",
1889,,,"Number never assigned",
1890,,,"Number never assigned",
1891,,,"Number never assigned",
1892,,,"Number never assigned",
1893,,,"Number never assigned",
1894,,,"Number never assigned",
1895,,,"Number never assigned",
1896,,,"Number never assigned",
1897,,,"Number never assigned",
1898,,,"Number never assigned",
1899,,,"Number never assigned",
1900,,,"Number never assigned",
1901,,,"Number never assigned",
1902,,,"Number never assigned",
1903,,,"Number never assigned",
1904,,,"Number never assigned",
1905,,,"Number never assigned",
1906,,,"Number never assigned",
1907,,,"Number never assigned",
1908,,,"Number never assigned",
1909,,,"Number never assigned",
1910,,,"Number never assigned",
1911,,,"Number never assigned",
1912,,,"Number never assigned",
1913,,,"Number never assigned",
1914,,,"Number never assigned",
1915,,,"Number never assigned",
1916,,,"Number never assigned",
1917,,,"Number never assigned",
1918,,,"Number never assigned",
1919,,,"Number never assigned",
1920,,,"Number never assigned",
1921,,,"Number never assigned",
1922,,,"Number never assigned",
1923,,,"Number never assigned",
1924,,,"Number never assigned",
1925,,,"Number never assigned",
1926,,,"Number never assigned",
1927,,,"Number never assigned",
1928,,,"Number never assigned",
1929,,,"Number never assigned",
1930,,,"Number never assigned",
1931,,,"Number never assigned",
1932,,,"Number never assigned",
1933,,,"Number never assigned",
1934,,,"Number never assigned",
1935,,,"Number never assigned",
1936,,,"Number never assigned",
1937,,,"Number never assigned",
1938,,,"Number never assigned",
1939,,,"Number never assigned",
1940,,,"Number never assigned",
1941,,,"Number never assigned",
1942,,,"Number never assigned",
1943,,,"Number never assigned",
1944,,,"Number never assigned",
1945,,,"Number never assigned",
1946,,,"Number never assigned",
1947,,,"Number never assigned",
1948,,,"Number never assigned",
1949,,,"Number never assigned",
1950,,,"Number never assigned",
1951,,,"Number never assigned",
1952,,,"Number never assigned",
1953,,,"Number never assigned",
1954,,,"Number never assigned",
1955,,,"Number never assigned",
1956,,,"Number never assigned",
1957,,,"Number never assigned",
1958,,,"Number never assigned",
1959,,,"Number never assigned",
1960,,,"Number never assigned",
1961,,,"Number never assigned",
1962,,,"Number never assigned",
1963,,,"Number never assigned",
1964,,,"Number never assigned",
1965,,,"Number never assigned",
1966,,,"Number never assigned",
1967,,,"Number never assigned",
1968,,,"Number never assigned",
1969,,,"Number never assigned",
1970,,,"Number never assigned",
1971,,,"Number never assigned",
1972,,,"Number never assigned",
1973,,,"Number never assigned",
1974,,,"Number never assigned",
1975,,,"Number never assigned",
1976,,,"Number never assigned",
1977,,,"Number never assigned",
1978,,,"Number never assigned",
1979,,,"Number never assigned",
1980,,,"Number never assigned",
1981,,,"Number never assigned",
1982,,,"Number never assigned",
1983,,,"Number never assigned",
1984,,,"Number never assigned",
1985,,,"Number never assigned",
1986,,,"Number never assigned",
1987,,,"Number never assigned",
1988,,,"Number never assigned",
1989,,,"Number never assigned",
1990,,,"Number never assigned",
1991,,,"Number never assigned",
1992,,,"Number never assigned",
1993,,,"Number never assigned",
1994,,,"Number never assigned",
1995,,,"Number never assigned",
1996,,,"Number never assigned",
1997,,,"Number never assigned",
1998,,,"Number never assigned",
1999,,,"Number never assigned",
2000,98,,,"B2.5"
2001,98,,,"B2.5"
2002,98,,,"B2.5"
2003,98,,,"B2.5"
2004,98,,,"B2.5"
2005,98,,,"B2.5"
2006,90,,,"B2.5"
2007,98,,,"B2.5"
2008,98,,,"B2.5"
2009,90,,,"B2.5"
2010,30,,"Wall, aligned NNE/SSW","B2.6"
2011,30,"+","Trench either Foundation or Robber","B2.6"
2012,30,,"Wall foundation","B2.6"
2013,30,6,"Gully aligned W/E","B2.6"
2014,30,"8,10,11,15-6","Small informal hearth/pit","B2.6"
2015,30,9,"Beam slot aligned NE/SW","B2.6"
2016,30,9,"Posthole","B2.6"
2017,30,9,"Posthole","B2.6"
2018,30,9,"Posthole","B2.6"
2019,30,"13-4","pit","B2.6"
2020,30,"23, 64-67","pit","B2.6"
2021,30,24,"Posthole","B2.6"
2022,30,"34, 43","latrine pit","B2.6"
2023,30,44,"Posthole","B2.6"
2024,30,42,"Beam slot aligned WNW/ESE","B2.6"
2025,30,45,"Ditch aligned N/S","B2.6"
2026,30,47,"Gully/slot","B2.6"
2027,30,48,"Gully/slot","B2.6"
2028,30,49,"Slot aligned W/E","B2.6"
2029,30,50,"Stakehole","B2.6"
2030,30,69,"Slot aligned W/E","B2.6"
2031,30,52,"slot aligned NNE/SSW","B2.6"
2032,30,"38, 53","slot aligned WNW/ESE","B2.6"
2033,30,51,"slot aligned WNW/ESE","B2.6"
2034,30,54,"slot aligned NNE/SSW","B2.6"
2035,30,56,"slot aligned Ne/sw","B2.6"
2036,30,57,"slot [end]","B2.6"
2037,30,58,"slot aligned wnw/ese","B2.6"
2038,30,"32,37","Slot aligned NW/SE","B2.6"
2039,30,33,"Posthole","B2.6"
2040,30,55,"Trench ? Foundation trench for piscina","B2.6"
2041,30,31,"Posthole","B2.6"
2042,30,"29,30","Posthole","B2.6"
2043,30,28,"Posthole/Stakehole","B2.6"
2044,30,70,"Posthole","B2.6"
2045,30,71,"Posthole","B2.6"
2046,30,59,"Posthole","B2.6"
2047,30,60,"Posthole","B2.6"
2048,30,61,"Posthole","B2.6"
2049,9,24,"informal hearth/pit","B2.6"
2050,9,25,"informal hearth/pit","B2.6"
2051,9,26,"informal hearth/pit","B2.6"
2052,4,38,"Posthole","B2.6"
2053,4,"36, 40, 45, 60","Slot aligned N/S","B2.6"
2054,4,"39, 46, 51","Slot aligned W/E","B2.6"
2055,4,49,"Posthole","B2.6"
2056,5,50,"slot aligned N/S","B2.6"
2057,4,53,"pit","B2.6"
2058,4,"35, 52","pit","B2.6"
2059,4,41,"Posthole","B2.6"
2060,4,42,"Posthole","B2.6"
2061,4,54,"slot aligned N/S","B2.6"
2062,4,55,"Posthole","B2.6"
2063,4,56,"Posthole","B2.6"
2064,4,29,"pit","B2.6"
2065,4,30,"pit","B2.6"
2066,4,31,"pit","B2.6"
2067,4,57,"slot aligned  WNW/ESE","B2.6"
2068,4,58,"Posthole","B2.6"
2069,4,59,"Posthole","B2.6"
2070,6,58,"Slot aligned W/E","B2.6"
2071,6,56,"Slot aligned W/E","B2.6"
2072,6,55,"Posthole","B2.6"
2073,6,57,"Posthole","B2.6"
2074,30,,"Posthole/ stakehole [void]","B2.6"
2075,90,259,"Gate post hole","B2.6"
2076,90,260,"Gate post hole","B2.6"
2077,90,243,"Gate post hole","B2.6"
2078,30,46,"Posthole","B2.6"
2079,90,220,"slot?","B2.6"
2080,10,"1+a","Victorian ? Robber pit","B2.6"
2081,10,"1+b","Robber pit [earlier than the above]","B2.6"
2082,10,3,"Channel/gully aligned n/s","B2.6"
2083,10,"1+b","Possible posthole","B2.6"
2084,10,"1+b","Possible posthole","B2.6"
2085,10,19,"Posthole to west of latrine pit","B2.6"
2086,10,21,"Posthole part of construction of wooden structure over latrine","B2.6"
2087,10,22,"Posthole part of construction of wooden structure over latrine","B2.6"
2088,10,23,"Posthole part of construction of wooden structure over latrine","B2.6"
2089,10,15,"Concrete foundations of piscina","B2.6"
2090,98,"197, 218","Road ditch","B2.6"
2091,9,1,"Robber trench","B2.6"
2092,9,2,"Cut of drain pipe trench","B2.6"
2093,9,,"Stone 'lining'/top of drain pipe","B2.6"
2094,9,32,"Posthole","B2.6"
2095,9,4,"Pit","B2.6"
2096,9,11,"Wall aligned N/S","B2.6"
2097,9,15,"Wall aligned N/S","B2.6"
2098,9,33,"Slot aligned NNE/SSW","B2.6"
2099,9,35,"Stakehole","B2.6"
2100,9,36,"Stakehole","B2.6"
2101,9,37,"Stakehole","B2.6"
2102,9,,"Posthole/Stakehole","B2.6"
2103,9,38,"Posthole","B2.6"
2104,9,39,"Posthole","B2.6"
2105,9,40,"Posthole","B2.6"
2106,9,41,"Posthole","B2.6"
2107,9,42,"Posthole","B2.6"
2108,9,43,"Posthole","B2.6"
2109,9,44,"Posthole","B2.6"
2110,9,45,"Stakehole","B2.6"
2111,9,46,"Stakehole","B2.6"
2112,9,47,"Stakehole","B2.6"
2113,9,48,"Stakehole","B2.6"
2114,9,49,"Stakehole","B2.6"
2115,2,"45/21","Small pit","B2.6"
2116,2,"Void","Posthole","B2.6"
2117,2,"26,27,27a","Construction trench fro wall F2118/2119","B2.6"
2118,2,"None","Wall aligned WNW/ESE","B2.6"
2119,2,"None","Offset wall aligned WNW/ESE","B2.6"
2120,2,"None","Wall foundations","B2.6"
2121,2,29,"Gully aligned WNW/ESE","B2.6"
2122,2,"30,37,39,42","Trench aligned WNW/ESE","B2.6"
2123,2,63,"? Informal hearth ?","B2.6"
2124,2,64,"Posthole","B2.6"
2125,2,65,"Posthole","B2.6"
2126,2,66,"Posthole","B2.6"
2127,2,33,"Slot aligned WNW/ESE","B2.6"
2128,2,33,"Slot aligned WNW/ESE","B2.6"
2129,2,61,"Beam slot aligned WNW/ESE","B2.6"
2130,2,"59a","[Possible] posthole - in baulk between 2 & 3 or old box 3","B2.6"
2131,2,"59b","[Possible] posthole  - in baulk between 2 & 3 or old box 3","B2.6"
2132,2,49,"[Possible] slot, gully, trench aligned roughly E/W  - in baulk between 2 & 3 or old box 3","B2.6"
2133,1,"+c","Modern trench? Robber trench","B2.6"
2134,1,"+a","Modern trench Ministry of works 1956","B2.6"
2135,1,,"Wall aligned NNE-SSW","B2.6"
2136,1,,"Wall aligned NNE-SSW","B2.6"
2137,1,"23-6, 44, 54","Construction trench aligned WNW/ESE","B2.6"
2138,1,"34-5, 35a. 58","Curving gully","B2.6"
2139,1,"33,37,41,57","Trench / slot aligned WNW/ESE","B2.6"
2140,1,,"Wall aligned WNW/ESE","B2.6"
2141,1,,"Wall offset aligned WNW/ESE","B2.6"
2142,1,26,"wall foundation aligned WNW/ESE","B2.6"
2143,1,53,"Slot","B2.6"
2144,1,22,"Construction trench aligned NNE/SSW","B2.6"
2145,1,61,"trench","B2.6"
2146,1,62,"Stakehole","B2.6"
2147,1,63,"slot/end of clay wall ??","B2.6"
2148,1,64,"Stakehole","B2.6"
2149,1,65,"Stakehole","B2.6"
2150,1,66,"possible post hole","B2.6"
2151,1,67,"possible post hole","B2.6"
2152,1,68,"possible post hole","B2.6"
2153,1,69,"possible post hole","B2.6"
2154,3,"4?","small pit","B2.6"
2155,3,"4?","small pit","B2.6"
2156,3,"4?","small pit","B2.6"
2157,3,"5?","shallow curving trench","B2.6"
2158,3,"5?","posthole","B2.6"
2159,3,"13,19","Construction trench aligned NNE/SSW","B2.6"
2160,3,,"wall aligned WNW/ESE","B2.6"
2161,3,,"Wall aligned NNE/SSW","B2.6"
2162,3,"18, 29","Construction trench aligned WNWW/ESE","B2.6"
2163,3,,"Wall foundations  aligned WNW/ESE","B2.6"
2164,3,,"Wall foundations NNE/SSW","B2.6"
2165,3,29,"Construction trench","B2.6"
2166,3,,"Wall","B2.6"
2167,4,3,"Ministry of works trench","B2.6"
2168,4,5,"Small pit","B2.6"
2169,4,"9,14","Construction trench for wall","B2.6"
2170,4,11,"small pit, western edge of box","B2.6"
2171,4,75,"Construction trench for wall","B2.6"
2172,4,76,"Small pit/post hole (scaffolding ph?)","B2.6"
2173,4,15,"Small pit/post hole (scaffolding ph?)","B2.6"
2174,4,20,"Small pit/post hole (scaffolding ph?)","B2.6"
2175,4,,"irregularly-shaped pit","B2.6"
2176,4,,"gully ?","B2.6"
2177,4,,"Wall","B2.6"
2178,4,,"offset Wall","B2.6"
2179,4,63,"Wall footings","B2.6"
2180,4,"+","Wall foundations","B2.6"
2181,5,6,"Beam slot ??","B2.6"
2182,5,"8/23","Construction trench","B2.6"
2183,5,13,"gully","B2.6"
2184,5,18,"small pit","B2.6"
2185,5,19,"posthole","B2.6"
2186,5,20,"Beam slot?","B2.6"
2187,5,22,"Beam slot  ?","B2.6"
2188,5,"24,25","Ministry of works trench","B2.6"
2189,5,27,"Beam slot? Possibly the same as 2192","B2.6"
2190,5,29,"Beam slot ?","B2.6"
2191,5,39,"? Pit/posthole","B2.6"
2192,5,44,"Beam slot ? Possibly the same as 2189","B2.6"
2193,5,,"Wall","B2.6"
2194,5,,"Wall footings","B2.6"
2195,5,,"Wall","B2.6"
2196,6,38,"Pit","B2.6"
2197,6,"40, 41,41a,47,51,52","Pit","B2.6"
2198,6,"44-46","Pit","B2.6"
2199,6,"48,49,39","Pit","B2.6"
2200,6,50,"Pit","B2.6"
2201,6,"43,43a","Pit","B2.6"
2202,6,59,"post hole","B2.6"
2203,6,62,"post hole","B2.6"
2204,6,"61, 63-63","beam slot ? Same as F2199","B2.6"
2205,6,"69-70","Pit ? Same as F2196","B2.6"
2206,6,71,"Pit","B2.6"
2207,6,72,"Pit","B2.6"
2208,6,73,"Pit","B2.6"
2209,6,74,"beam slot Same as F2067","B2.6"
2210,6,77,"beam slot Same as F2056","B2.6"
2211,6,1,"MODERN TRENCH","B2.6"
2212,6,6,"beam slot /trench","B2.6"
2213,6,"7,8,9,10,11,12","construction trench","B2.6"
2214,6,,"wall","B2.6"
2215,6,10,"wall foundations","B2.6"
2216,6,,"sleeper beam","B2.6"
2217,6,,"post hole","B2.6"
2218,6,,"post hole","B2.6"
2219,6,79,"sleeper trench","B2.6"
2220,4,"void","shuttering around concrete floor","B2.6"
2221,4,28,"beam slot Same as","B2.6"
2222,9,52,"?stakehole","B2.6"
2223,9,53,"?stakehole","B2.6"
2224,9,54,"?stakehole","B2.6"
2225,12,"+c,9","modern pit/trench","B2.6"
2226,12,"26/2, 52-6, 11/23","Pit/trench, Robber trench of piscina","B2.6"
2227,12,"12/21","Posthole","B2.6"
2228,12,41,"Pit","B2.6"
2229,12,"37-40","Pit same as F2268","B2.6"
2230,12,36,"Beam slot","B2.6"
2231,12,34,"Beam slot ?","B2.6"
2232,12,"36a","Beam slot","B2.6"
2233,12,41,"Pit/posthole","B2.6"
2234,12,43,"Pit/posthole","B2.6"
2235,12,58,"Stakehole","B2.6"
2236,12,59,"Pit","B2.6"
2237,12,57,"Concrete foundation of piscina","B2.6"
2238,11,"11, 11a-d, 13, 13a","19th century robber trench","B2.6"
2239,11,"12, 12a-h","Robber trench","B2.6"
2240,11,7,"Construction Trench","B2.6"
2241,11,19,"Foundations of piscina","B2.6"
2242,11,20,"Flagstone floor of piscina","B2.6"
2243,11,"21-4","Remains of wall of piscina","B2.6"
2244,14,"20+a","Posthole","B2.6"
2245,14,"31a","Posthole","B2.6"
2246,14,32,"Pit","B2.6"
2247,14,50,"Beam slot","B2.6"
2248,14,48,"Pit","B2.6"
2249,14,49,"Beam slot, also fills 67/7 and 24/39","B2.6"
2250,7,"+c","Modern trench","B2.6"
2251,7,"5a","Small pit","B2.6"
2252,7,"8a","Trench","B2.6"
2253,7,"8b","Pit","B2.6"
2254,7,"8c","Trench/pit","B2.6"
2255,14,34,"Construction trench","B2.6"
2256,14,,"West Wall of Caldarium","B2.6"
2257,14,,"Offset wall of Caldarium","B2.6"
2258,14,,"Wall foundations","B2.6"
2259,14,35,"Pit - inspection pit","B2.6"
2260,14,42,"Pit","B2.6"
2261,14,43,"Pit","B2.6"
2262,14,44,"Slot","B2.6"
2263,13,"+a","C19th excavation  trench","B2.6"
2264,13,"6a","Trench/posthole ?","B2.6"
2265,13,25,"Gully/slot","B2.6"
2266,13,"18, 28","Gully/slot","B2.6"
2267,13,26,"Pit","B2.6"
2268,13,24,"Pit same as F2229","B2.6"
2269,13,22,"Posthole","B2.6"
2270,13,23,"Pit?","B2.6"
2271,13,27,"Pit in NE corner","B2.6"
2272,13,19,"Modern test hole 1965","B2.6"
2273,7,,"Wall","B2.6"
2274,7,"12/21, 22","Trench/pit? Robbing?","B2.6"
2275,7,51,"Pit  Pit I","B2.6"
2276,7,44,"Pit  Pit II","B2.6"
2277,7,50,"Pit  Pit III","B2.6"
2278,7,36,"Beam slot","B2.6"
2279,7,"36a","Posthole","B2.6"
2280,7,38,"Pit  Pit IV","B2.6"
2281,7,43,"Pit  Pit V","B2.6"
2282,7,40,"Slot","B2.6"
2283,7,39,"Pit  Pit VI","B2.6"
2284,7,59,"Pit","B2.6"
2285,7,62,"Pit","B2.6"
2286,7,63,"Pit","B2.6"
2287,63,"7-8, 10, 15, 18-23","Pit to east of piscina","B2.6"
2288,63,"12, 13","Pit","B2.6"
2289,39,20,"Beam slot (F2303)","B2.6"
2290,39,21,"Pit","B2.6"
2291,39,22,"Pit","B2.6"
2292,39,"23/28","Beam slot","B2.6"
2293,39,"26-7","Pit","B2.6"
2294,12,28,"Hearth (laid floor tiles)","B2.6"
2295,33,"+L","19th excavation","B2.6"
2296,33,"I","Robber trench","B2.6"
2297,39,"I","Modern Trench","B2.6"
2298,39,"6a","Small Pit","B2.6"
2299,39,"10, 13","Pit","B2.6"
2300,39,"11,15","Pit","B2.6"
2301,39,12,"Pit","B2.6"
2302,39,16,"Slot","B2.6"
2303,39,"17-8","Slot F2289","B2.6"
2304,39,"14a","Posthole","B2.6"
2305,39,"14b","Posthole","B2.6"
2306,39,"14c","Posthole","B2.6"
2307,39,30,"Slot","B2.6"
2308,39,31,"Posthole","B2.6"
2309,39,32,"Posthole","B2.6"
2310,,,"Not assigned","B2.6"
2311,34,12,"Beam slot","B2.6"
2312,34,"29, 30, 37, 42, 48","Beam slot","B2.6"
2313,34,21,"Pit","B2.6"
2314,34,"23, 31","Pit","B2.6"
2315,34,25,"Posthole/stakehole","B2.6"
2316,34,26,"Posthole/stakehole","B2.6"
2317,34,27,"Posthole/stakehole","B2.6"
2318,34,"32-3","Pit","B2.6"
2319,34,"35, 44","Beam slot E/W","B2.7"
2320,34,"35a","Posthole","B2.7"
2321,34,"38, 42","Pit","B2.7"
2322,34,"39, 45","Pit","B2.7"
2323,34,40,"Posthole","B2.7"
2324,34,43,"Small pit","B2.7"
2325,34,47,"Curving gully","B2.7"
2326,34,46,"Post pit","B2.7"
2327,34,"46a","Posthole","B2.7"
2328,34,"46b","Posthole","B2.7"
2329,35,"3a","Small pit","B2.7"
2330,35,6,"Possibly hearth","B2.7"
2331,35,16,"Post pit","B2.7"
2332,35,"16a","Posthole","B2.7"
2333,35,29,"Beam slot W/E","B2.7"
2334,35,"45, 47","Pit","B2.7"
2335,35,"53, 63, 64, 65","Pit","B2.7"
2336,35,54,"Beam slot W/E","B2.7"
2337,35,55,"Posthole","B2.7"
2338,35,56,"Posthole","B2.7"
2339,35,57,"Posthole","B2.7"
2340,35,58,"Posthole","B2.7"
2341,35,"67a","Possible posthole","B2.7"
2342,35,"66a","Posthole","B2.7"
2343,35,27,"Pit","B2.7"
2344,35,"27a","Posthole","B2.7"
2345,34,"+d","Posthole","B2.7"
2346,41,"+A +B","Modern trench W/E","B2.7"
2347,41,"+C","(Modern?) trench N/S","B2.7"
2348,41,"+C, 25b","(Modern?) trench N/S ? Robber","B2.7"
2349,41,8,"Beam slot","B2.7"
