Xradiograph ID,XRadiograph plate,AML number
1,"A1472(III)",760291
2,"A1650",725606
3,"A1650",725605
4,"A1650",725607
5,"A1650",725608
6,"A1650",725609
7,"A1650",725603
8,"A1651",725629
9,"A1651",725602
10,"A1651",725610
11,"A1651",725600
12,"A1651",725624
13,"A1651",725604
14,"A1651",725614
15,"A1651",725630
16,"A1652",725622
17,"A1652",725626
18,"A1652",725628
19,"A1652",725615
20,"A1652",725623
21,"A1652",725625
22,"A1653",725631
23,"A1653",725632
24,"A1653",725613
25,"A1653",725621
26,"A1653",725627
27,"A1654",725612
28,"A1654",725611
29,"A1654",725616
30,"A1654",725617
31,"A1654",725618
32,"A1654",725620
33,"A1654",725619
34,"A1661",725609
35,"A1675",760291
36,"A1675",767019
37,"A1675",767020
38,"A1675",767017
39,"A1675",767021
40,"A1675",767018
41,"A1675",767022
42,"A1676",760270
43,"A1676",760260
44,"A1676",760263
45,"A1676",760266
46,"A1676",760262
47,"A1676",760261
48,"A1676",767025
49,"A1678",760265
50,"A1678",760238
51,"A1678",767028
52,"A1678",767023
53,"A1678",767024
54,"A1678",767027
55,"A1678",760268
56,"A1678",760264
57,"A1679",760258
58,"A1679",781655
59,"A1679",760256
60,"A1679",760259
61,"A1679",760257
62,"A1679",681693
63,"A1679",767026
64,"A1679",760271
65,"A1679",760275
66,"A1679",760269
67,"A1680",767028
68,"A1681",767028
69,"A1762",770898
70,"A1762",770892
71,"A1763",770891
72,"A1807",690001
73,"A1864",690001
74,"A3056",786218
75,"A1953",777281
76,"A1953",777282
77,"A1953",777283
78,"A1953",777279
79,"A1953",777280
80,"A1990",770891
81,"A1990",777292
82,"A2607",781848
83,"A3054",786219
84,"A3054",786220
85,"A3054",786217
86,"A3055",786215
87,"A4104",787127
88,"A4104",770899
89,"A4104",785518
90,"A3057",786214
91,"A3057",786274
92,"A3057",786263
93,"A3057",786226
94,"A3057",786275
95,"A3058",786242
96,"A3059",786216
97,"A3059",786267
98,"A3059",786271
99,"A3059",786233
100,"A3060",786234
101,"A3060",786235
102,"A3060",786257
103,"A3060",786237
104,"A3060",786265
105,"A3060",786252
106,"A3061",786250
107,"A3061",786254
108,"A3061",786255
109,"A3061",786253
110,"A3061",786270
111,"A3061",786262
112,"A3061",786251
113,"A3061",786262
114,"A3061",786232
115,"A3061",786244
116,"A3061",786249
117,"A3062",786241
118,"A3063",786240
119,"A3063",786236
120,"A3063",786273
121,"A3063",786264
122,"A3063",786229
123,"A3063",768230
124,"A3063",786266
125,"A3063",786268
126,"A3063",768225
127,"A3063",768243
128,"A3063",786227
129,"A3064",786228
130,"A3064",786247
131,"A3064",786231
132,"A3064",786248
133,"A3064",786259
134,"A3064",786260
135,"A3064",786246
136,"A3064",786269
137,"A3064",786224
138,"A3064",786222
139,"A3064",786221
140,"A3064",786223
141,"A3064",786272
142,"A3066",786319
143,"A3066",786319
144,"A3066",786281
145,"A3066",786318
146,"A3066",786317
147,"A3066",786316
148,"A3066",786315
149,"A3066",786313
150,"A3066",787094
151,"A3066",786314
152,"A3066",786306
153,"A3066",786298
154,"A3067",786310
155,"A3067",786311
156,"A3067",786314
157,"A3067",786280
158,"A3067",786309
159,"A3067",786307
160,"A3067",786306
161,"A3067",786297
162,"A3067",786303
163,"A3067",786294
164,"A3067",786296
165,"A3068",786322
166,"A3068",786321
167,"A3068",786320
168,"A3068",786291
169,"A3069",786278
170,"A3069",786279
171,"A3069",786302
172,"A3069",786277
173,"A3069",786290
174,"A3069",786288
175,"A3069",786301
176,"A3070",786323
177,"A3070",786289
178,"A3070",786283
179,"A3070",786286
180,"A3070",786292
181,"A3071",786295
182,"A3071",786276
183,"A3071",786299
184,"A3071",786282
185,"A3071",786300
186,"A3071",786284
187,"A3071",786293
188,"A3511",801533
189,"A3542",785589
190,"A3584",785864
191,"A3584",785859
192,"A3575",725758
193,"A3550",785847
194,"A3576",801426
195,"A3576",801428
196,"A3576",801431
197,"A3576",801432
198,"A3576",801434
199,"A3576",801437
200,"A3576",801436
201,"A3576",861439
202,"A3576",801438
203,"A3576",801429
204,"A3576",801436
205,"A3576",801433
206,"A3576",801435
207,"A3576",801440
208,"A3576",801443
209,"A3576",801446
210,"A3576",801442
211,"A3577",801444
212,"A3577",801448
213,"A3577",801445
214,"A3577",793527
215,"A3577",793526
216,"A3577",793520
217,"A3577",793524
218,"A3577",793519
219,"A3577",798517
220,"A3577",793516
221,"A3577",793531
222,"A3577",801447
223,"A3577",793530
224,"A3577",793529
225,"A3577",793530
226,"A3577",793528
227,"A3577",793525
228,"A3577",793522
229,"A3578",793521
230,"A3578",793521
231,"A3579",801441
232,"A3579",793515
233,"A3579",793506
234,"A3579",793510
235,"A3579",793523
236,"A3579",793504
237,"A3579",793503
238,"A3579",801428
239,"A3579",801443
240,"A3580",801816
241,"A3580",801827
242,"A3855",811049
243,"A3855",811051
244,"A3855",811053
245,"A3855",811050
246,"A3855",811052
247,"A3855",811054
248,"A3856",811056
249,"A3856",811057
250,"A3856",811058
251,"A3856",811059
252,"A3856",811060
253,"A3856",811061
254,"A3856",811062
255,"A3857",811652
256,"A3857",811065
257,"A3858",811064
258,"A3858",811653
259,"A3858",811055
260,"A3858",811063
261,"A3858",811066
262,"A3859",811067
263,"A3859",811648
264,"A3859",811649
265,"A3859",811650
266,"A3859",811651
267,"A4108",787127
268,"A4381",785719
269,"A4381",785703
270,"A4381",785699
271,"A4381",785687
272,"A4381",785673
273,"A4381",785667
274,"A4381",785664
275,"A4381",785660
276,"A4381",785656
277,"A4381",785672
278,"A4381",785694
279,"A4381",785657
280,"A4381",785658
281,"A4381",785659
282,"A4381",785668
283,"A4381",785670
284,"A4381",785709
285,"A4381",785718
286,"A4381",785724
287,"A4381",785735
288,"A4381",785669
289,"A4381",785696
290,"A4381",785690
291,"A4381",785679
292,"A4381",785678
293,"A4381",785674
294,"A4381",785733
295,"A4369",787690
296,"A4371",787690
297,"A4386",786326
298,"A4387",786326
299,"A4392",787677
300,"A4493",787287
301,"A4880",811184
302,"A4884",821729
303,"A4972",814654
304,"A4972",814655
305,"A4972",814656
306,"A4972",814657
307,"A4972",814658
308,"A4972",814659
309,"A4972",814660
310,"A4972",814661
311,"A4972",814662
312,"A4972",814663
313,"A4972",814664
314,"A4972",814665
315,"A4972",814666
316,"A4972",814667
317,"A4972",814668
318,"A4972",814669
319,"A4972",814670
320,"A4972",814671
321,"A4972",814672
322,"A4972",814680
323,"A4972",814665
324,"A4972",814673
325,"A4972",814674
326,"A4972",874675
327,"A4972",814676
328,"A4972",814677
329,"A4972",814680
330,"A4972",874678
331,"A4972",814679
332,"A4972",814654
333,"A4972",814655
334,"A4972",814656
335,"A4972",814657
336,"A4972",814664
337,"A4972",814666
338,"A4972",814677
339,"A4972",814680
340,"A5075",821431
341,"A5075",821434
342,"A5075",821438
343,"A5075",821435
344,"A5075",821439
345,"A5075",821433
346,"A5075",821436
347,"A5075",821437
348,"A5076",821440
349,"A5076",821441
350,"A5076",821442
351,"A5076",821443
352,"A5076",821444
353,"A5076",821445
354,"A5076",821446
355,"A5076",821447
356,"A5076",821448
357,"A5076",821449
358,"A5076",821451
359,"A5076",821452
360,"A5076",821454
361,"A5076",821450
362,"A5076",821465
363,"A5077",821453
364,"A5077",821457
365,"A5077",821458
366,"A5077",821459
367,"A5077",821467
368,"A5077",821455
369,"A5078",821460
370,"A5078",821462
371,"A5079",821463
372,"A5079",821464
373,"A5079",821466
374,"A5079",821468
375,"A5079",821465
376,"A5079",821467
377,"A5079",821469
378,"A5079",821470
379,"A5079",821471
380,"A5079",821472
381,"A5080",821473
382,"A5080",821477
383,"A5080",821478
384,"A5080",821483
385,"A5080",821474
386,"A5080",821475
387,"A5080",821476
388,"A5080",821480
389,"A5080",821484
390,"A5081",821485
391,"A5081",821486
392,"A5081",821479
393,"A5082",821487
394,"A5083",821488
395,"A5083",821492
396,"A5083",821493
397,"A5083",821489
398,"A5083",821490
399,"A5083",821491
400,"A5083",821492
401,"A5083",821493
402,"A5083",821494
403,"A5083",821495
404,"A5084",821496
405,"A5084",821497
406,"A5084",821499
407,"A5084",821498
408,"A5085",821500
409,"A5085",821501
410,"A5085",821502
411,"A5085",821503
412,"A5085",821505
413,"A5085",821504
414,"A5086",821506
415,"A5086",821507
416,"A5086",821508
417,"A5086",821511
418,"A5086",821510
419,"A5086",821509
420,"A5086",821513
421,"A5086",821514
422,"A5086",821519
423,"A5087",821512
424,"A5087",821517
425,"A5087",821518
426,"A5088",821515
427,"A5088",821520
428,"A5088",821516
429,"A5089",82152
430,"A5089",821522
431,"A5089",821525
432,"A5089",821523
433,"A5090",821524
434,"A5090",821527
435,"A5090",821525
436,"A5090",821528
437,"A5091",821529
438,"A5091",821532
439,"A5091",821531
440,"A5091",821530
441,"A5092",821533
442,"A5092",821534
443,"A5092",821535
444,"A5092",821536
445,"A5092",821537
446,"A5092",821538
447,"A5092",821540
448,"A5093",821539
449,"A5093",821541
450,"A5093",821542
451,"A5093",821543
452,"A5093",821546
453,"A5093",821545
454,"A5094",821544
455,"A5094",821548
456,"A5094",821551
457,"A5095",821547
458,"A5095",821550
459,"A5095",821549
460,"A5095",821550
461,"A5096",821552
462,"A5096",821553
463,"A5096",821554
464,"A5096",821555
465,"A5096",821563
466,"A5096",821558
467,"A5096",821557
468,"A5096",821556
469,"A5097",821560
470,"A5097",821561
471,"A5097",821566
473,"A5098",821564
474,"A5099",821567
475,"A5099",821568
476,"A5099",821569
477,"A5099",821572
478,"A5099",821576
479,"A5099",821577
480,"A5100",821570
481,"A5100",821571
482,"A5101",821573
483,"A5101",821574
484,"A5101",821575
485,"A5102",821579
486,"A5102",821580
487,"A5102",821581
488,"A5102",821582
489,"A5103",830108
490,"A5103",830109
491,"A5103",830111
492,"A5103",830110
493,"A5103",830113
495,"A5105",830114
496,"A5105",830115
497,"A5105",830116
498,"A5105",830123
499,"A5106",830117
500,"A5106",830118
501,"A5106",830119
502,"A5107",830120
503,"A5107",830121
504,"A5107",830122
505,"A5107",830124
506,"A5107",830125
507,"A5107",830126
508,"A5108",830127
509,"A5108",830129
510,"A5108",830128
511,"A5108",830131
512,"A5108",830130
513,"A5108",830133
514,"A5108",830132
515,"A5108",830135
516,"A5108",830134
517,"A5109",830136
518,"A5109",830137
519,"A5109",830138
520,"A5109",830139
521,"A5109",830141
522,"A5109",830154
523,"A5110",830140
524,"A5110",830142
525,"A5110",830143
526,"A5110",830144
527,"A5111",830144
528,"A5111",830145
529,"A5111",830147
530,"A5111",830149
531,"A5112",830146
532,"A5113",830146
533,"A5113",830156
534,"A5113",830151
535,"A5114",830148
536,"A5114",830152
537,"A5114",830155
538,"A5114",830156
539,"A5115",830155
540,"A5115",830153
541,"A5115",830155
542,"A5116",830157
543,"A5116",830158
544,"A5116",830159
472,"A5098",821562
494,"A5104",830114
545,"A5116",830161
546,"A5116",830160
547,"A5116",830162
548,"A5116",830163
549,"A5116",830164
550,"A5116",830165
551,"A5116",830170
552,"A5117",830166
553,"A5117",830173
554,"A5117",830171
555,"A5117",830172
556,"A5117",830168
557,"A5117",830167
558,"A5117",830169
559,"A5118",830174
560,"A5118",830177
561,"A5118",830176
562,"A5118",830175
563,"A5118",830178
564,"A5118",830139
565,"A5119",830180
566,"A5119",830181
567,"A5119",830182
568,"A5119",830184
569,"A5119",830186
570,"A5119",830185
571,"A5120",830188
572,"A5120",830190
573,"A5120",830189
574,"A5121",830193
575,"A5121",830191
576,"A5121",830195
577,"A5121",830194
578,"A5121",830192
579,"A5121",830195
580,"A5121",830197
581,"A5121",830198
582,"A5122",830198
583,"A5122",830199
584,"A5122",830200
585,"A5123",830201
586,"A5123",830202
587,"A5123",830203
588,"A5123",830204
589,"A5123",830206
590,"A5123",830208
591,"A5123",830207
592,"A5123",830205
593,"A5124",830211
594,"A5124",830210
595,"A5124",830212
596,"A5124",830214
597,"A5124",830213
598,"A5124",830216
599,"A5125",830217
600,"A5192",811046
601,"A5193",830286
602,"A5193",830321
603,"A5196",835664
604,"A5196",835667
605,"A5196",835666
606,"A5196",835665
607,"A5197",835668
608,"A5197",835669
609,"A5197",835671
610,"A5197",835672
611,"A5197",836573
612,"A5197",835676
613,"A5197",835667
614,"A5197",835677
615,"A5197",835674
616,"A5197",835678
617,"A5197",835679
618,"A5198",835680
619,"A5198",835681
620,"A5198",835682
621,"A5198",835683
622,"A5198",835684
623,"A5198",835685
624,"A5198",835686
625,"A5198",835687
626,"A5199",835688
627,"A5199",835691
628,"A5199",835689
629,"A5199",835690
630,"A5199",835693
631,"A5199",835694
632,"A5199",835698
633,"A5199",835692
634,"A5199",835695
635,"A5199",835697
636,"A5200",835696
637,"A5200",835699
638,"A5200",835701
639,"A5200",835700
640,"A5201",835702
641,"A5201",835703
642,"A5201",835704
643,"A5201",835705
644,"A5202",835709
645,"A5202",835706
646,"A5202",835707
647,"A5202",835710
648,"A5202",835713
649,"A5202",835711
650,"A5202",835712
651,"A5202",835714
652,"A5202",835715
653,"A5202",835716
654,"A5203",835717
655,"A5203",835718
656,"A5203",835719
657,"A5203",835720
658,"A5203",835722
659,"A5203",835751
660,"A5203",835723
661,"A5203",835724
662,"A5203",835725
663,"A5203",835726
664,"A5204",835727
665,"A5204",835728
666,"A5204",835729
667,"A5204",835730
668,"A5204",835731
669,"A5204",835732
670,"A5204",835733
671,"A5204",835735
672,"A5204",835737
673,"A5204",835738
674,"A5204",835739
675,"A5204",835734
676,"A5204",835743
677,"A5204",835742
678,"A5205",835736
679,"A5205",835741
680,"A5206",835740
681,"A5206",835744
682,"A5206",835748
683,"A5206",835752
684,"A5206",835744
685,"A5206",835749
686,"A5206",835746
687,"A5206",835750
688,"A5206",835745
689,"A5207",835751
690,"A5207",835754
691,"A5207",835755
692,"A5207",835753
693,"A5207",835757
694,"A5207",835758
695,"A5207",835759
696,"A5207",832756
697,"A5207",835763
698,"A5207",835764
699,"A5208",835760
700,"A5208",835761
701,"A5208",835762
702,"A5208",835766
703,"A5208",835767
704,"A5208",835768
705,"A5208",835769
706,"A5209",835770
707,"A5209",835771
708,"A5209",835772
709,"A5209",835773
710,"A5209",835774
711,"A5209",835775
712,"A5209",835776
713,"A5209",835779
714,"A5210",835777
715,"A5210",835782
716,"A5210",835784
717,"A5210",835778
718,"A5210",835783
719,"A5210",835780
720,"A5210",835785
721,"A5210",835786
722,"A5210",835787
723,"A5210",835788
724,"A5211",835765
725,"A5212",835789
726,"A5212",835792
727,"A5212",835790
728,"A5212",835793
729,"A5212",835794
730,"A5212",835791
731,"A5212",835795
732,"A5212",835798
733,"A5212",835796
734,"A5212",835794
735,"A5212",835797
736,"A5213",835800
737,"A5213",835805
738,"A5213",835806
739,"A5213",835807
740,"A5213",835799
741,"A5213",835802
742,"A5213",835804
743,"A5214",835803
744,"A5214",835810
745,"A5214",835812
746,"A5214",835811
747,"A5214",835808
748,"A5214",835812
749,"A5214",835809
750,"A5214",835813
751,"A5215",835814
752,"A5215",835817
753,"A5215",835821
754,"A5215",835822
755,"A5215",838818
756,"A5215",835815
757,"A5215",835816
758,"A5215",835820
759,"A5215",835824
760,"A5215",835823
761,"A5215",835821
762,"A5215",835822
763,"A5215",835825
764,"A5216",835819
765,"A5216",835826
766,"A5216",835827
767,"A5220",810958
768,"A5221",811053
769,"A5221",821541
770,"A5221",830124
